time,amplitude
0.64818,3.88
0.648185,3.88
0.64819,3.96
0.648195,3.96
0.6482,0.2
0.648205,0.2
0.64821,0.2
0.648215,0.2
0.64822,0.2
0.648225,0.2
0.64823,0.2
0.648235,0.2
0.64824,0.2
0.648245,0.2
0.64825,0.2
0.648255,0.12
0.64826,0.2
0.648265,3.96
0.64827,3.88
0.648275,3.8
0.64828,3.88
0.648285,3.88
0.64829,3.88
0.648295,0.2
0.6483,0.28
0.648305,0.2
0.64831,0.2
0.648315,0.2
0.64832,0.28
0.648325,3.88
0.64833,3.88
0.648335,3.88
0.64834,3.88
0.648345,3.88
0.64835,3.88
0.648355,3.8
0.64836,0.2
0.648365,0.2
0.64837,0.28
0.648375,0.2
0.64838,0.2
0.648385,0.2
0.64839,3.96
0.648395,3.88
0.6484,3.88
0.648405,3.88
0.64841,3.96
0.648415,3.88
0.64842,3.88
0.648425,3.8
0.64843,3.88
0.648435,3.8
0.64844,3.88
0.648445,3.8
0.64845,0.28
0.648455,0.12
0.64846,0.28
0.648465,0.2
0.64847,0.28
0.648475,0.2
0.64848,0.2
0.648485,3.88
0.64849,3.72
0.648495,3.8
0.6485,3.8
0.648505,3.88
0.64851,3.8
0.648515,0.2
0.64852,0.28
0.648525,0.28
0.64853,0.2
0.648535,0.2
0.64854,0.2
0.648545,0.2
0.64855,0.2
0.648555,0.12
0.64856,0.2
0.648565,0.28
0.64857,0.2
0.648575,3.88
0.64858,3.88
0.648585,3.8
0.64859,3.88
0.648595,3.88
0.6486,3.88
0.648605,3.88
0.64861,3.96
0.648615,3.96
0.64862,3.96
0.648625,3.96
0.64863,3.88
0.648635,3.96
0.64864,0.2
0.648645,0.2
0.64865,0.28
0.648655,0.2
0.64866,0.28
0.648665,0.2
0.64867,3.96
0.648675,3.88
0.64868,3.96
0.648685,3.88
0.64869,3.88
0.648695,3.96
0.6487,0.2
0.648705,0.2
0.64871,0.28
0.648715,0.2
0.64872,0.2
0.648725,0.2
0.64873,0.2
0.648735,3.88
0.64874,3.96
0.648745,3.88
0.64875,3.88
0.648755,3.88
0.64876,3.88
0.648765,0.2
0.64877,0.28
0.648775,0.2
0.64878,0.2
0.648785,0.2
0.64879,0.2
0.648795,0.2
0.6488,0.2
0.648805,0.2
0.64881,0.2
0.648815,0.12
0.64882,0.2
0.648825,3.8
0.64883,3.8
0.648835,3.8
0.64884,3.8
0.648845,3.8
0.64885,3.88
0.648855,3.88
0.64886,0.12
0.648865,0.2
0.64887,0.2
0.648875,0.2
0.64888,0.2
0.648885,0.2
0.64889,3.96
0.648895,3.88
0.6489,3.88
0.648905,3.88
0.64891,3.88
0.648915,3.8
0.64892,3.88
0.648925,3.8
0.64893,3.88
0.648935,3.88
0.64894,3.8
0.648945,3.88
0.64895,0.2
0.648955,0.28
0.64896,0.2
0.648965,0.2
0.64897,0.2
0.648975,0.2
0.64898,0.12
0.648985,3.88
0.64899,3.8
0.648995,3.88
0.649,3.88
0.649005,3.88
0.64901,3.88
0.649015,0.2
0.64902,0.2
0.649025,0.28
0.64903,0.2
0.649035,0.2
0.64904,0.2
0.649045,0.2
0.64905,0.2
0.649055,0.2
0.64906,0.2
0.649065,0.2
0.64907,0.2
0.649075,3.88
0.64908,3.88
0.649085,3.88
0.64909,3.88
0.649095,3.88
0.6491,3.96
0.649105,3.88
